iter	Logloss
0	0.6513364584
1	0.6180204178
2	0.5885238845
3	0.5659377103
4	0.5460760371
5	0.5242249519
6	0.5076406722
7	0.4938315246
8	0.4844200686
9	0.4775829953
10	0.4688519023
11	0.4604527088
12	0.4556827546
13	0.4514188887
14	0.4475157385
15	0.4446012952
16	0.4415506156
17	0.4396154718
18	0.4377955492
19	0.4360164864
20	0.4342951778
21	0.433081105
22	0.4316349286
23	0.4307911452
24	0.4286392264
25	0.4269524078
26	0.4255775486
27	0.425107482
28	0.4239620203
29	0.4231664349
30	0.4222774952
31	0.421390525
32	0.4207691759
33	0.4203565876
34	0.419794585
35	0.4191183507
36	0.4182833048
37	0.417994616
38	0.417697153
39	0.4169989125
40	0.4169918844
41	0.4169097659
42	0.4167431844
43	0.4160016716
44	0.4154751407
45	0.4152738435
46	0.4146210792
47	0.414496642
48	0.413997981
49	0.4135148958
50	0.4131550897
51	0.4128767644
52	0.4126446151
53	0.4125604254
54	0.4122493885
55	0.4121238017
56	0.4120970664
57	0.4118962875
58	0.4116384651
59	0.411605317
60	0.4113579615
61	0.4112491358
62	0.4112491252
63	0.4111082117
64	0.4110738666
65	0.4108932924
66	0.410798164
67	0.410696234
68	0.4105800066
69	0.4104132704
70	0.4102361178
71	0.4102344828
72	0.4100788704
73	0.4100331505
74	0.4096363943
75	0.4096087662
76	0.4096007254
77	0.4095050739
78	0.4095007984
79	0.4094952689
80	0.4094185736
81	0.4091497983
82	0.4090100527
83	0.4084192745
84	0.4082414431
85	0.4082231064
86	0.4081522824
87	0.4079493
88	0.4078488542
89	0.4076205591
90	0.4073487058
91	0.4071005743
92	0.4068376344
93	0.4067793854
94	0.4066794027
95	0.4065715712
96	0.4065230499
97	0.4062732609
98	0.4060843637
99	0.4059537775
100	0.4058978463
101	0.4058636143
102	0.4058131541
103	0.4058030624
104	0.405730927
105	0.4055430163
106	0.4052039634
107	0.4051503932
108	0.4051115744
109	0.4048375692
110	0.4045644933
111	0.4042518653
112	0.4039508693
113	0.4036898848
114	0.4035075749
115	0.403500017
116	0.4034896294
117	0.403391313
118	0.4032419387
119	0.4030482132
120	0.4030169033
121	0.402936089
122	0.402925579
123	0.4026796137
124	0.4024621101
125	0.4021611854
126	0.402082091
127	0.4020076081
128	0.4018220464
129	0.4017995553
130	0.4016885269
131	0.4012981293
132	0.401272776
133	0.4012084475
134	0.4011809242
135	0.4011365441
136	0.4010698795
137	0.4009875635
138	0.4009210002
139	0.400895752
140	0.400841855
141	0.4008348941
142	0.4008298118
143	0.4006103307
144	0.4005367645
145	0.4005301299
146	0.4004826778
147	0.4004634205
148	0.4002878114
149	0.4002698203
150	0.4000434601
151	0.3998770826
152	0.3995583481
153	0.3995251911
154	0.399418181
155	0.3991875817
156	0.3991722406
157	0.3989997278
158	0.3989432151
159	0.3989295012
160	0.3989065574
161	0.3988999574
162	0.3987192134
163	0.3986996856
164	0.3985640505
165	0.3984927946
166	0.3983768398
167	0.3983666322
168	0.3982411833
169	0.3981304091
170	0.3980898244
171	0.3980879948
172	0.3980609566
173	0.3978449242
174	0.3976931242
175	0.3976895428
176	0.3976817382
177	0.3973203969
178	0.3971937246
179	0.3970046939
180	0.3969761292
181	0.3968076002
182	0.3968068658
183	0.3966634399
184	0.3965962382
185	0.3965937757
186	0.3964711045
187	0.396417456
188	0.3963862803
189	0.3963231145
190	0.3962113492
191	0.3962101312
192	0.3962050875
193	0.3959729512
194	0.3959170853
195	0.395914942
196	0.3957464701
197	0.3957423974
198	0.3956900598
199	0.39567908
