iter	Passed	Remaining
0	1	328
1	3	342
2	4	324
3	6	310
4	7	299
5	9	292
6	10	285
7	11	275
8	12	269
9	14	266
10	15	266
11	16	265
12	18	259
13	19	254
14	20	250
15	21	250
16	22	245
17	24	243
18	25	240
19	26	239
20	27	237
21	29	238
22	31	239
23	32	237
24	33	236
25	35	235
26	36	234
27	37	232
28	39	230
29	40	229
30	41	226
31	42	224
32	43	222
33	45	221
34	46	219
35	47	217
36	48	215
37	50	213
38	51	212
39	52	211
40	54	210
41	55	209
42	56	207
43	58	206
44	59	205
45	61	204
46	62	203
47	64	202
48	65	201
49	66	199
50	67	198
51	69	196
52	70	195
53	71	194
54	73	192
55	74	190
56	75	189
57	76	188
58	78	186
59	79	185
60	80	184
61	81	182
62	83	181
63	84	179
64	86	178
65	87	177
66	88	176
67	90	175
68	91	174
69	93	172
70	94	171
71	95	170
72	97	169
73	98	167
74	99	166
75	101	165
76	102	164
77	104	163
78	105	161
79	106	160
80	108	159
81	109	157
82	110	156
83	111	154
84	113	153
85	114	151
86	115	150
87	116	148
88	118	147
89	119	146
90	121	145
91	122	143
92	123	142
93	125	141
94	126	139
95	127	138
96	129	137
97	130	135
98	131	134
99	133	133
100	134	131
101	136	130
102	137	129
103	138	128
104	140	126
105	141	125
106	142	124
107	144	123
108	145	121
109	147	120
110	148	118
111	149	117
112	151	116
113	152	114
114	153	113
115	155	112
116	156	111
117	158	109
118	159	108
119	160	107
120	162	105
121	163	104
122	165	103
123	166	102
124	167	100
125	169	99
126	170	98
127	171	96
128	173	95
129	174	93
130	175	92
131	177	91
132	178	89
133	180	88
134	181	87
135	182	85
136	184	84
137	186	83
138	187	82
139	188	80
140	190	79
141	191	78
142	193	76
143	194	75
144	196	74
145	197	73
146	198	71
147	200	70
148	201	69
149	203	67
150	204	66
151	205	64
152	206	63
153	208	62
154	209	60
155	210	59
156	212	58
157	213	56
158	214	55
159	216	54
160	217	52
161	219	51
162	220	50
163	221	48
164	223	47
165	224	45
166	225	44
167	227	43
168	228	41
169	229	40
170	231	39
171	232	37
172	234	36
173	235	35
174	236	33
175	237	32
176	239	31
177	241	29
178	242	28
179	243	27
180	244	25
181	245	24
182	247	22
183	248	21
184	249	20
185	250	18
186	252	17
187	253	16
188	254	14
189	255	13
190	257	12
191	258	10
192	260	9
193	261	8
194	262	6
195	264	5
196	265	4
197	267	2
198	268	1
199	270	0
